Text name: ddpg_halfcheetah_seed1.txt
[635/1000] rSumAvg:[-5.378]
[636/1000] rSumAvg:[5.811]
[637/1000] rSumAvg:[-4.870]
[638/1000] rSumAvg:[3.704]
[639/1000] rSumAvg:[6.925]
[640/1000] rSumAvg:[6.687]
[641/1000] rSumAvg:[0.880]
[642/1000] rSumAvg:[9.203]
[643/1000] rSumAvg:[8.338]
[644/1000] rSumAvg:[6.842]
[645/1000] rSumAvg:[2.401]
[646/1000] rSumAvg:[19.080]
[647/1000] rSumAvg:[5.092]
[648/1000] rSumAvg:[10.087]
[649/1000] rSumAvg:[4.119]
[650/1000] rSumAvg:[3.221]
[651/1000] rSumAvg:[5.884]
[652/1000] rSumAvg:[4.163]
[653/1000] rSumAvg:[0.882]
[654/1000] rSumAvg:[-7.590]
[655/1000] rSumAvg:[-6.926]
[656/1000] rSumAvg:[-1.844]
[657/1000] rSumAvg:[-12.866]
[658/1000] rSumAvg:[1.895]
[659/1000] rSumAvg:[-10.112]
[660/1000] rSumAvg:[-13.384]
[661/1000] rSumAvg:[-7.584]
[662/1000] rSumAvg:[-6.877]
[663/1000] rSumAvg:[-8.355]
[664/1000] rSumAvg:[-9.881]
[665/1000] rSumAvg:[-7.991]
[666/1000] rSumAvg:[-10.999]
[667/1000] rSumAvg:[-12.080]
[668/1000] rSumAvg:[-9.235]
[669/1000] rSumAvg:[-9.385]
[670/1000] rSumAvg:[-9.198]
[671/1000] rSumAvg:[-7.441]
[672/1000] rSumAvg:[-1.118]
[673/1000] rSumAvg:[-5.837]
[674/1000] rSumAvg:[-0.534]
[675/1000] rSumAvg:[-0.264]
[676/1000] rSumAvg:[-3.724]
[677/1000] rSumAvg:[-4.439]
[678/1000] rSumAvg:[-7.112]
[679/1000] rSumAvg:[-2.168]
[680/1000] rSumAvg:[-2.451]
[681/1000] rSumAvg:[-3.202]
[682/1000] rSumAvg:[-5.782]
[683/1000] rSumAvg:[-7.244]
[684/1000] rSumAvg:[-8.327]
[685/1000] rSumAvg:[-5.137]
[686/1000] rSumAvg:[-9.474]
[687/1000] rSumAvg:[-8.595]
[688/1000] rSumAvg:[-4.970]
[689/1000] rSumAvg:[-8.811]
[690/1000] rSumAvg:[-8.647]
[691/1000] rSumAvg:[-8.576]
[692/1000] rSumAvg:[-9.369]
[693/1000] rSumAvg:[-9.456]
[694/1000] rSumAvg:[-7.753]
[695/1000] rSumAvg:[-7.227]
[696/1000] rSumAvg:[-6.567]
[697/1000] rSumAvg:[-3.864]
